Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2005-01-01,1186.18994140625,1217.800048828125,1182.1600341796875,1211.9200439453125,8017700000
2005-01-08,1184.52001953125,1194.780029296875,1175.6400146484375,1186.18994140625,7387000000
2005-01-15,1167.8699951171875,1195.97998046875,1167.8199462890625,1184.52001953125,6431000000
2005-01-22,1171.3599853515625,1177.5,1163.75,1167.8699951171875,7983300000
2005-01-29,1203.030029296875,1203.469970703125,1171.3599853515625,1171.3599853515625,8126140000
2005-02-05,1205.300048828125,1208.3800048828125,1191.5400390625,1203.030029296875,7328450000
2005-02-12,1201.5899658203125,1212.43994140625,1197.3499755859375,1205.300048828125,7438680000
2005-02-19,1211.3699951171875,1212.1500244140625,1184.1600341796875,1201.5899658203125,6288460000
2005-02-26,1222.1199951171875,1224.760009765625,1198.1300048828125,1211.3699951171875,8325140000
2005-03-05,1200.0799560546875,1229.1099853515625,1198.1500244140625,1222.1199951171875,7770730000
2005-03-12,1189.6500244140625,1210.5400390625,1182.780029296875,1200.0799560546875,8530450000
2005-03-19,1171.4200439453125,1189.6500244140625,1168.699951171875,1189.6500244140625,7902500000
2005-03-26,1172.9200439453125,1189.800048828125,1163.68994140625,1171.4200439453125,10449500000
2005-04-02,1181.199951171875,1191.8800048828125,1167.719970703125,1172.7900390625,9309920000
2005-04-09,1142.6199951171875,1190.1700439453125,1141.9200439453125,1181.199951171875,10599880000
2005-04-16,1152.1199951171875,1159.949951171875,1136.1500244140625,1142.6199951171875,10894860000
2005-04-23,1156.8499755859375,1164.800048828125,1139.18994140625,1152.1199951171875,10450920000
2005-04-30,1171.3499755859375,1178.6199951171875,1154.7099609375,1156.8499755859375,10157840000
2005-05-07,1154.050048828125,1178.8699951171875,1146.1800537109375,1171.3499755859375,9765530000
2005-05-14,1189.280029296875,1191.219970703125,1153.6400146484375,1154.050048828125,9418050000
2005-05-21,1198.780029296875,1199.56005859375,1185.9599609375,1189.280029296875,8139890000
2005-05-28,1196.02001953125,1205.6400146484375,1191.030029296875,1198.780029296875,7092090000
2005-06-04,1198.1099853515625,1208.8499755859375,1191.0899658203125,1196.02001953125,8602280000
2005-06-11,1216.9599609375,1219.550048828125,1194.510009765625,1198.1099853515625,9383350000
2005-06-18,1191.5699462890625,1219.5899658203125,1191.449951171875,1216.9599609375,9707200000
2005-06-25,1194.43994140625,1204.0699462890625,1188.300048828125,1191.5699462890625,8983620000
2005-07-02,1211.8599853515625,1212.72998046875,1183.550048828125,1194.43994140625,7542540000
2005-07-09,1227.9200439453125,1233.1600341796875,1211.8599853515625,1211.8599853515625,9355920000
2005-07-16,1233.6800537109375,1236.56005859375,1221.1300048828125,1227.9200439453125,9583550000
2005-07-23,1234.1800537109375,1245.1500244140625,1228.1500244140625,1233.6800537109375,9388840000
